"","x"
"fin_0355-2047_1905-01-12_9-00005_751685.txt.lemmatized",9
"fin_0355-2047_1905-01-12_9-00006_751685.txt.lemmatized",15
"fin_0355-2047_1905-01-13_10-00001_751686.txt.lemmatized",2
"fin_0355-2047_1905-01-13_10-00002_751686.txt.lemmatized",1
"fin_0355-2047_1905-01-13_10-00003_751686.txt.lemmatized",1
"fin_0355-2047_1905-01-13_10-00004_751686.txt.lemmatized",1
"fin_0355-2047_1905-01-13_10-00005_751686.txt.lemmatized",14
"fin_0355-2047_1905-01-13_10-00006_751686.txt.lemmatized",16
"fin_0355-2047_1905-01-14_11-00001_751687.txt.lemmatized",2
"fin_0355-2047_1905-01-14_11-00002_751687.txt.lemmatized",18
"fin_0355-2047_1905-01-14_11-00003_751687.txt.lemmatized",1
"fin_0355-2047_1905-01-14_11-00004_751687.txt.lemmatized",14
"fin_0355-2047_1905-01-14_11-00005_751687.txt.lemmatized",14
"fin_0355-2047_1905-01-14_11-00006_751687.txt.lemmatized",3
"fin_0355-2047_1905-01-15_12-00001_751688.txt.lemmatized",12
"fin_0355-2047_1905-01-15_12-00002_751688.txt.lemmatized",2
"fin_0355-2047_1905-01-15_12-00003_751688.txt.lemmatized",1
"fin_0355-2047_1905-01-15_12-00004_751688.txt.lemmatized",1
"fin_0355-2047_1905-01-15_12-00005_751688.txt.lemmatized",1
"fin_0355-2047_1905-01-15_12-00006_751688.txt.lemmatized",14
"fin_0355-2047_1905-01-15_12-00007_751688.txt.lemmatized",14
"fin_0355-2047_1905-01-15_12-00008_751688.txt.lemmatized",3
"fin_0355-2047_1905-01-17_13-00001_751690.txt.lemmatized",12
"fin_0355-2047_1905-01-17_13-00002_751690.txt.lemmatized",18
"fin_0355-2047_1905-01-17_13-00003_751690.txt.lemmatized",1
"fin_0355-2047_1905-01-17_13-00004_751690.txt.lemmatized",1
"fin_0355-2047_1905-01-17_13-00005_751690.txt.lemmatized",1
"fin_0355-2047_1905-01-17_13-00006_751690.txt.lemmatized",14
"fin_0355-2047_1905-01-17_13-00007_751690.txt.lemmatized",14
"fin_0355-2047_1905-01-17_13-00008_751690.txt.lemmatized",15
"fin_0355-2047_1905-01-18_14-00001_751689.txt.lemmatized",2
"fin_0355-2047_1905-01-18_14-00002_751689.txt.lemmatized",18
"fin_0355-2047_1905-01-18_14-00003_751689.txt.lemmatized",20
"fin_0355-2047_1905-01-18_14-00004_751689.txt.lemmatized",14
"fin_0355-2047_1905-01-18_14-00005_751689.txt.lemmatized",14
"fin_0355-2047_1905-01-18_14-00006_751689.txt.lemmatized",16
"fin_0355-2047_1905-01-19_15-00001_751691.txt.lemmatized",2
"fin_0355-2047_1905-01-19_15-00002_751691.txt.lemmatized",18
"fin_0355-2047_1905-01-19_15-00003_751691.txt.lemmatized",20
"fin_0355-2047_1905-01-19_15-00004_751691.txt.lemmatized",1
"fin_0355-2047_1905-01-19_15-00005_751691.txt.lemmatized",1
"fin_0355-2047_1905-01-19_15-00006_751691.txt.lemmatized",14
"fin_0355-2047_1905-01-19_15-00008_751691.txt.lemmatized",16
"fin_0355-2047_1905-01-20_16-00001_751692.txt.lemmatized",2
"fin_0355-2047_1905-01-20_16-00002_751692.txt.lemmatized",18
"fin_0355-2047_1905-01-20_16-00003_751692.txt.lemmatized",5
"fin_0355-2047_1905-01-20_16-00004_751692.txt.lemmatized",19
"fin_0355-2047_1905-01-20_16-00005_751692.txt.lemmatized",14
"fin_0355-2047_1905-01-20_16-00006_751692.txt.lemmatized",15
"fin_0355-2047_1905-01-21_17-00001_751693.txt.lemmatized",12
"fin_0355-2047_1905-01-21_17-00002_751693.txt.lemmatized",18
"fin_0355-2047_1905-01-21_17-00003_751693.txt.lemmatized",1
